UniProt ID;Gene;Protein name
P52888;THOP1;Thimet oligopeptidase
Q8WX77;IGFBPL1;Insulin-like growth factor-binding protein-like 1
Q969P0;IGSF8;Immunoglobulin superfamily member 8
Q8IZP9;ADGRG2;Adhesion G-protein coupled receptor G2
Q16820;MEP1B;Meprin A subunit beta
P06858;LPL;Lipoprotein lipase
Q9GZM7;TINAGL1;Tubulointerstitial nephritis antigen-like
P27352;CBLIF;Cobalamin binding intrinsic factor
Q8WTU2;SSC4D;Scavenger receptor cysteine-rich domain-containing group B protein
O95544;NADK;NAD kinase
P78380;OLR1;Oxidized low-density lipoprotein receptor 1
Q9Y5K6;CD2AP;CD2-associated protein
P41236;PPP1R2;Protein phosphatase inhibitor 2
Q9UBU3;GHRL;Appetite-regulating hormone
P35754;GLRX;Glutaredoxin-1
Q9NR28;DIABLO;Diablo homolog, mitochondrial
Q86VZ4;LRP11;Low-density lipoprotein receptor-related protein 11
Q14956;GPNMB;Transmembrane glycoprotein NMB
Q13275;SEMA3F;Semaphorin-3F
Q96LA6;FCRL1;Fc receptor-like protein 1
Q8NI22;MCFD2;Multiple coagulation factor deficiency protein 2
P41159;LEP;Leptin
P19022;CDH2;Cadherin-2
P18827;SDC1;Syndecan-1
P09417;QDPR;Dihydropteridine reductase
P09382;LGALS1;Galectin-1
Q8WVQ1;CANT1;Soluble calcium-activated nucleotidase 1
P21583;KITLG;Kit ligand
Q99674;CGREF1;Cell growth regulator with EF hand domain protein 1
P10145;CXCL8;Interleukin-8
Q13158;FADD;FAS-associated death domain protein
Q53H82;LACTB2;Endoribonuclease LACTB2
Q15846;CLUL1;Clusterin-like protein 1
Q9UKJ0;PILRB;Paired immunoglobulin-like type 2 receptor beta
P23526;AHCY;Adenosylhomocysteinase
Q9BUD6;SPON2;Spondin-2
P23141;CES1;Liver carboxylesterase 1
Q8IW75;SERPINA12;Serpin A12
O00161;SNAP23;Synaptosomal-associated protein 23
P09601;HMOX1;Heme oxygenase 1
P31431;SDC4;Syndecan-4
P20711;DDC;Aromatic-L-amino-acid decarboxylase
Q92692;NECTIN2;Nectin-2
P35247;SFTPD;Pulmonary surfactant-associated protein D
Q9BQR3;PRSS27;Serine protease 27
P15090;FABP4;Fatty acid-binding protein, adipocyte
O95841;ANGPTL1;Angiopoietin-related protein 1
Q9UEW3;MARCO;Macrophage receptor MARCO
A6NI73;LILRA5;Leukocyte immunoglobulin-like receptor subfamily A member 5
P08833;IGFBP1;Insulin-like growth factor-binding protein 1
P02462;COL4A1;Collagen alpha-1(IV) chain
Q99523;SORT1;Sortilin
Q6WN34;CHRDL2;Chordin-like protein 2
P33151;CDH5;Cadherin-5
Q01973;ROR1;Inactive tyrosine-protein kinase transmembrane receptor ROR1
P55058;PLTP;Phospholipid transfer protein
P07911;UMOD;Uromodulin
Q16270;IGFBP7;Insulin-like growth factor-binding protein 7
P01130;LDLR;Low-density lipoprotein receptor
Q8NBP7;PCSK9;Proprotein convertase subtilisin/kexin type 9
P19971;TYMP;Thymidine phosphorylase
Q92520;FAM3C;Protein FAM3C
Q16773;KYAT1;Kynurenine--oxoglutarate transaminase 1
P22748;CA4;Carbonic anhydrase 4
P07204;THBD;Thrombomodulin
P04792;HSPB1;Heat shock protein beta-1
Q92823;NRCAM;Neuronal cell adhesion molecule
P54760;EPHB4;Ephrin type-B receptor 4
P07711;CTSL;Cathepsin L1
P09467;FBP1;Fructose-1,6-bisphosphatase 1
Q76M96;CCDC80;Coiled-coil domain-containing protein 80
Q8N1Q1;CA13;Carbonic anhydrase 13
P42830;CXCL5;C-X-C motif chemokine 5
Q07108;CD69;Early activation antigen CD69
P01241;GH1;Somatotropin
Q13361;MFAP5;Microfibrillar-associated protein 5
P00750;PLAT;Tissue-type plasminogen activator
P12104;FABP2;Fatty acid-binding protein, intestinal
P00797;REN;Renin
Q9BQB4;SOST;Sclerostin
Q9NQX5;NPDC1;Neural proliferation differentiation and control protein 1
P12724;RNASE3;Eosinophil cationic protein
Q9UK05;GDF2;Growth/differentiation factor 2
P13598;ICAM2;Intercellular adhesion molecule 2
Q76LX8;ADAMTS13;A disintegrin and metalloproteinase with thrombospondin motifs 13
O75326;SEMA7A;Semaphorin-7A
Q9H2A7;CXCL16;C-X-C motif chemokine 16
Q9UM47;NOTCH3;Neurogenic locus notch homolog protein 3
Q86U17;SERPINA11;Serpin A11
P15085;CPA1;Carboxypeptidase A1
P04066;FUCA1;Tissue alpha-L-fucosidase
Q14767;LTBP2;Latent-transforming growth factor beta-binding protein 2
Q9NQ79;CRTAC1;Cartilage acidic protein 1
Q07507;DPT;Dermatopontin
P32942;ICAM3;Intercellular adhesion molecule 3
P07858;CTSB;Cathepsin B
Q03167;TGFBR3;Transforming growth factor beta receptor type 3
P08118;MSMB;Beta-microseminoprotein
P14555;PLA2G2A;Phospholipase A2, membrane associated
P17931;LGALS3;Galectin-3
P04275;VWF;von Willebrand factor
Q9Y275;TNFSF13B;Tumor necrosis factor ligand superfamily member 13B
Q5VY43;PEAR1;Platelet endothelial aggregation receptor 1
P07451;CA3;Carbonic anhydrase 3
Q96AP7;ESAM;Endothelial cell-selective adhesion molecule
P08581;MET;Hepatocyte growth factor receptor
P09619;PDGFRB;Platelet-derived growth factor receptor beta
Q06141;REG3A;Regenerating islet-derived protein 3-alpha
P01589;IL2RA;Interleukin-2 receptor subunit alpha
P48304;REG1B;Lithostathine-1-beta
O14798;TNFRSF10C;Tumor necrosis factor receptor superfamily member 10C
Q9UBP4;DKK3;Dickkopf-related protein 3
P55808;XG;Glycoprotein Xg
P02144;MB;Myoglobin
Q9NNX6;CD209;CD209 antigen
Q13740;ALCAM;CD166 antigen
P04054;PLA2G1B;Phospholipase A2
P48960;ADGRE5;Adhesion G protein-coupled receptor E5
P12111;COL6A3;Collagen alpha-3(VI) chain
Q9H1U4;MEGF9;Multiple epidermal growth factor-like domains protein 9
P19021;PAM;Peptidyl-glycine alpha-amidating monooxygenase
P80370;DLK1;Protein delta homolog 1
Q01638;IL1RL1;Interleukin-1 receptor-like 1
Q99988;GDF15;Growth/differentiation factor 15
P16581;SELE;E-selectin
P08236;GUSB;Beta-glucuronidase
P04080;CSTB;Cystatin-B
Q14162;SCARF1;Scavenger receptor class F member 1
Q13822;ENPP2;Ectonucleotide pyrophosphatase/phosphodiesterase family member 2
P15086;CPB1;Carboxypeptidase B
Q15828;CST6;Cystatin-M
P17813;ENG;Endoglin
P31146;CORO1A;Coronin-1A
P09093;CELA3A;Chymotrypsin-like elastase family member 3A
P48745;CCN3;CCN family member 3
O15467;CCL16;C-C motif chemokine 16
P46531;NOTCH1;Neurogenic locus notch homolog protein 1
P02452;COL1A1;Collagen alpha-1(I) chain
P20160;AZU1;Azurocidin
Q13867;BLMH;Bleomycin hydrolase
P42785;PRCP;Lysosomal Pro-X carboxypeptidase
Q8TDL5;BPIFB1;BPI fold-containing family B member 1
P04746;AMY2A;Pancreatic alpha-amylase
O75594;PGLYRP1;Peptidoglycan recognition protein 1
P13987;CD59;CD59 glycoprotein
Q13332;PTPRS;Receptor-type tyrosine-protein phosphatase S
P42574;CASP3;Caspase-3
P19961;AMY2B;Alpha-amylase 2B
P20062;TCN2;Transcobalamin-2
P05121;SERPINE1;Plasminogen activator inhibitor 1
P78324;SIRPA;Tyrosine-protein phosphatase non-receptor type substrate 1
Q12860;CNTN1;Contactin-1
Q13231;CHIT1;Chitotriosidase-1
P39060;COL18A1;Collagen alpha-1(XVIII) chain
P04085;PDGFA;Platelet-derived growth factor subunit A
O75023;LILRB5;Leukocyte immunoglobulin-like receptor subfamily B member 5
P10451;SPP1;Osteopontin
P18065;IGFBP2;Insulin-like growth factor-binding protein 2
O00584;RNASET2;Ribonuclease T2
P19957;PI3;Elafin
Q16769;QPCT;Glutaminyl-peptide cyclotransferase
Q9HD89;RETN;Resistin
P00533;EGFR;Epidermal growth factor receptor
Q16663;CCL15;C-C motif chemokine 15
Q14393;GAS6;Growth arrest-specific protein 6
O15031;PLXNB2;Plexin-B2
P24158;PRTN3;Myeloblastin
P25445;FAS;Tumor necrosis factor receptor superfamily member 6
P05107;ITGB2;Integrin beta-2
Q12884;FAP;Prolyl endopeptidase FAP
P13686;ACP5;Tartrate-resistant acid phosphatase type 5
P23284;PPIB;Peptidyl-prolyl cis-trans isomerase B
P43121;MCAM;Cell surface glycoprotein MUC18
P35590;TIE1;Tyrosine-protein kinase receptor Tie-1
P10586;PTPRF;Receptor-type tyrosine-protein phosphatase F
Q8NHL6;LILRB1;Leukocyte immunoglobulin-like receptor subfamily B member 1
Q96KN2;CNDP1;Beta-Ala-His dipeptidase
Q9Y4L1;HYOU1;Hypoxia up-regulated protein 1
Q8N423;LILRB2;Leukocyte immunoglobulin-like receptor subfamily B member 2
Q13508;ART3;Ecto-ADP-ribosyltransferase 3
O95998;IL18BP;Interleukin-18-binding protein
P15907;ST6GAL1;Beta-galactoside alpha-2,6-sialyltransferase 1
P59665;DEFA1_DEFA1B;Neutrophil defensin 1
Q6EMK4;VASN;Vasorin
P00740;F9;Coagulation factor IX
Q9NZK5;ADA2;Adenosine deaminase 2
P12830;CDH1;Cadherin-1
P24821;TNC;Tenascin
P15529;CD46;Membrane cofactor protein
P20023;CR2;Complement receptor type 2
Q9UBR2;CTSZ;Cathepsin Z
P07359;GP1BA;Platelet glycoprotein Ib alpha chain
P13591;NCAM1;Neural cell adhesion molecule 1
P07478;PRSS2;Trypsin-2
Q15485;FCN2;Ficolin-2
P80188;LCN2;Neutrophil gelatinase-associated lipocalin
P18428;LBP;Lipopolysaccharide-binding protein
P30530;AXL;Tyrosine-protein kinase receptor UFO
P16109;SELP;P-selectin
P98160;HSPG2;Basement membrane-specific heparan sulfate proteoglycan core protein
Q99650;OSMR;Oncostatin-M-specific receptor subunit beta
P12318;FCGR2A;Low affinity immunoglobulin gamma Fc region receptor II-a
Q15113;PCOLCE;Procollagen C-endopeptidase enhancer 1
Q14515;SPARCL1;SPARC-like protein 1
P08887;IL6R;Interleukin-6 receptor subunit alpha
Q12794;HYAL1;Hyaluronidase-1
O14786;NRP1;Neuropilin-1
Q86VB7;CD163;Scavenger receptor cysteine-rich type 1 protein M130
P00441;SOD1;Superoxide dismutase [Cu-Zn]
O75015;FCGR3B;Low affinity immunoglobulin gamma Fc region receptor III-B
P07339;CTSD;Cathepsin D
Q16853;AOC3;Membrane primary amine oxidase
P10646;TFPI;Tissue factor pathway inhibitor
P14543;NID1;Nidogen-1
Q9BXJ1;C1QTNF1;Complement C1q tumor necrosis factor-related protein 1
O00533;CHL1;Neural cell adhesion molecule L1-like protein
P02786;TFRC;Transferrin receptor protein 1
Q96H15;TIMD4;T-cell immunoglobulin and mucin domain-containing protein 4
P19320;VCAM1;Vascular cell adhesion protein 1
P08571;CD14;Monocyte differentiation antigen CD14
P05556;ITGB1;Integrin beta-1
O95445;APOM;Apolipoprotein M
P15144;ANPEP;Aminopeptidase N
Q99969;RARRES2;Retinoic acid receptor responder protein 2
Q9NPY3;CD93;Complement component C1q receptor
A1L4H1;SSC5D;Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D
Q07654;TFF3;Trefoil factor 3
P10721;KIT;Mast/stem cell growth factor receptor Kit
P08174;CD55;Complement decay-accelerating factor
P35443;THBS4;Thrombospondin-4
P08709;F7;Coagulation factor VII
P17936;IGFBP3;Insulin-like growth factor-binding protein 3
P55774;CCL18;C-C motif chemokine 18
Q06033;ITIH3;Inter-alpha-trypsin inhibitor heavy chain H3
P36222;CHI3L1;Chitinase-3-like protein 1
Q9UGM5;FETUB;Fetuin-B
P49747;COMP;Cartilage oligomeric matrix protein
P27487;DPP4;Dipeptidyl peptidase 4
P01033;TIMP1;Metalloproteinase inhibitor 1
P04070;PROC;Vitamin K-dependent protein C
Q15582;TGFBI;Transforming growth factor-beta-induced protein ig-h3
Q9Y5C1;ANGPTL3;Angiopoietin-related protein 3
P41222;PTGDS;Prostaglandin-H2 D-isomerase
Q16627;CCL14;C-C motif chemokine 14
P06681;C2;Complement C2
Q92820;GGH;Gamma-glutamyl hydrolase
P00915;CA1;Carbonic anhydrase 1
P13501;CCL5;C-C motif chemokine 5
P05451;REG1A;Lithostathine-1-alpha
Q12805;EFEMP1;EGF-containing fibulin-like extracellular matrix protein 1
P05362;ICAM1;Intercellular adhesion molecule 1
P01034;CST3;Cystatin-C
P03950;ANG;Angiogenin
P24592;IGFBP6;Insulin-like growth factor-binding protein 6
