UniProt ID;Gene;Protein name
Q9NQ66;PLCB1;1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1
Q5JS54;PSMG4;Proteasome assembly chaperone 4
O43184;ADAM12;Disintegrin and metalloproteinase domain-containing protein 12
Q9UHA7;IL36A;Interleukin-36 alpha
Q15697;ZNF174;Zinc finger protein 174
P17050;NAGA;Alpha-N-acetylgalactosaminidase
Q9H0U9;TSPYL1;Testis-specific Y-encoded-like protein 1
P56645;PER3;Period circadian protein homolog 3
P16671;CD36;Platelet glycoprotein 4
P26436;ACRV1;Acrosomal protein SP-10
Q96PX8;SLITRK1;SLIT and NTRK-like protein 1
P29536;LMOD1;Leiomodin-1
P14902;IDO1;Indoleamine 2,3-dioxygenase 1
Q14160;SCRIB;Protein scribble homolog
Q16718;NDUFA5;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5
Q15223;NECTIN1;Nectin-1
P11487;FGF3;Fibroblast growth factor 3
P48546;GIPR;Gastric inhibitory polypeptide receptor
Q8WV28;BLNK;B-cell linker protein
O60500;NPHS1;Nephrin
Q96PL5;ERMAP;Erythroid membrane-associated protein
Q86UE4;MTDH;Protein LYRIC
P20701;ITGAL;Integrin alpha-L
P52630;STAT2;Signal transducer and activator of transcription 2
O43320;FGF16;Fibroblast growth factor 16
P81534;DEFB103A_DEFB103B;Beta-defensin 103
Q9Y2X7;GIT1;ARF GTPase-activating protein GIT1
Q15399;TLR1;Toll-like receptor 1
Q9H3T2;SEMA6C;Semaphorin-6C
P55211;CASP9;Caspase-9
Q99584;S100A13;Protein S100-A13
Q9UHI8;ADAMTS1;A disintegrin and metalloproteinase with thrombospondin motifs 1
P23743;DGKA;Diacylglycerol kinase alpha
Q99062;CSF3R;Granulocyte colony-stimulating factor receptor
O75688;PPM1B;Protein phosphatase 1B
Q5T2W1;PDZK1;Na(+)/H(+) exchange regulatory cofactor NHE-RF3
Q8N556;AFAP1;Actin filament-associated protein 1
P49757;NUMB;Protein numb homolog
P11234;RALB;Ras-related protein Ral-B
P06213;INSR;Insulin receptor
O95157;NXPH3;Neurexophilin-3
O60437;PPL;Periplakin
Q9H7Z7;PTGES2;Prostaglandin E synthase 2
O15400;STX7;Syntaxin-7
Q02880;TOP2B;DNA topoisomerase 2-beta
P06730;EIF4E;Eukaryotic translation initiation factor 4E
Q15762;CD226;CD226 antigen
Q9BV40;VAMP8;Vesicle-associated membrane protein 8
P49765;VEGFB;Vascular endothelial growth factor B
P32927;CSF2RB;Cytokine receptor common subunit beta
Q5QGZ9;CLEC12A;C-type lectin domain family 12 member A
Q9NZH8;IL36G;Interleukin-36 gamma
Q16643;DBN1;Drebrin
Q9H171;ZBP1;Z-DNA-binding protein 1
P09564;CD7;T-cell antigen CD7
O60238;BNIP3L;BCL2/adenovirus E1B 19 kDa protein-interacting protein 3-like
P24666;ACP1;Low molecular weight phosphotyrosine protein phosphatase
Q96PU5;NEDD4L;E3 ubiquitin-protein ligase NEDD4-like
O94916;NFAT5;Nuclear factor of activated T-cells 5
O95835;LATS1;Serine/threonine-protein kinase LATS1
P17301;ITGA2;Integrin alpha-2
Q8NEU8;APPL2;DCC-interacting protein 13-beta
Q02223;TNFRSF17;Tumor necrosis factor receptor superfamily member 17
Q5JS37;NHLRC3;NHL repeat-containing protein 3
Q6QNK2;ADGRD1;Adhesion G-protein coupled receptor D1
Q8N8U9;BMPER;BMP-binding endothelial regulator protein
P20908;COL5A1;Collagen alpha-1(V) chain
Q9BX67;JAM3;Junctional adhesion molecule C
P22303;ACHE;Acetylcholinesterase
Q9BUH6;PAXX;Protein PAXX
O76074;PDE5A;cGMP-specific 3',5'-cyclic phosphodiesterase
Q9BRK3;MXRA8;Matrix remodeling-associated protein 8
Q9H7Y0;DIPK2B;Divergent protein kinase domain 2B
P01037;CST1;Cystatin-SN
P04083;ANXA1;Annexin A1
Q8TEA8;DTD1;D-aminoacyl-tRNA deacylase 1
Q9ULI3;HEG1;Protein HEG homolog 1
P30040;ERP29;Endoplasmic reticulum resident protein 29
Q96QR1;SCGB3A1;Secretoglobin family 3A member 1
O75347;TBCA;Tubulin-specific chaperone A
Q9UGN4;CD300A;CMRF35-like molecule 8
Q8NDA2;HMCN2;Hemicentin-2
P06280;GLA;Alpha-galactosidase A
Q6P5S2;LEG1;Protein LEG1 homolog
Q16378;PRR4;Proline-rich protein 4
P61457;PCBD1;Pterin-4-alpha-carbinolamine dehydratase
Q9UI42;CPA4;Carboxypeptidase A4
P27348;YWHAQ;14-3-3 protein theta
Q99574;SERPINI1;Neuroserpin
P06132;UROD;Uroporphyrinogen decarboxylase
Q5TDH0;DDI2;Protein DDI1 homolog 2
Q9HCU4;CELSR2;Cadherin EGF LAG seven-pass G-type receptor 2
P40197;GP5;Platelet glycoprotein V
P04406;GAPDH;Glyceraldehyde-3-phosphate dehydrogenase
Q9NS98;SEMA3G;Semaphorin-3G
P00325;ADH1B;All-trans-retinol dehydrogenase [NAD(+)] ADH1B
P55083;MFAP4;Microfibril-associated glycoprotein 4
Q8TDQ7;GNPDA2;Glucosamine-6-phosphate isomerase 2
Q9H939;PSTPIP2;Proline-serine-threonine phosphatase-interacting protein 2
Q9BUN1;MENT;Protein MENT
O75190;DNAJB6;DnaJ homolog subfamily B member 6
P04090;RLN2;Prorelaxin H2
O95393;BMP10;Bone morphogenetic protein 10
O43399;TPD52L2;Tumor protein D54
Q96HD1;CRELD1;Protein disulfide isomerase CRELD1
Q02952;AKAP12;A-kinase anchor protein 12
Q4VCS5;AMOT;Angiomotin
P10912;GHR;Growth hormone receptor
Q9BXJ0;C1QTNF5;Complement C1q tumor necrosis factor-related protein 5
P30101;PDIA3;Protein disulfide-isomerase A3
P0C862;C1QTNF9;Complement C1q and tumor necrosis factor-related protein 9A
P30047;GCHFR;GTP cyclohydrolase 1 feedback regulatory protein
Q15276;RABEP1;Rab GTPase-binding effector protein 1
O14745;SLC9A3R1;Na(+)/H(+) exchange regulatory cofactor NHE-RF1
Q6FHJ7;SFRP4;Secreted frizzled-related protein 4
Q58EX2;SDK2;Protein sidekick-2
Q9HB71;CACYBP;Calcyclin-binding protein
P32119;PRDX2;Peroxiredoxin-2
P14091;CTSE;Cathepsin E
O60279;SUSD5;Sushi domain-containing protein 5
P20155;SPINK2;Serine protease inhibitor Kazal-type 2
A6NC86;PINLYP;phospholipase A2 inhibitor and Ly6/PLAUR domain-containing protein
A2VDF0;FUOM;Fucose mutarotase
P49862;KLK7;Kallikrein-7
P09529;INHBB;Inhibin beta B chain
P25686;DNAJB2;DnaJ homolog subfamily B member 2
Q86SX6;GLRX5;Glutaredoxin-related protein 5, mitochondrial
P22455;FGFR4;Fibroblast growth factor receptor 4
P0DML2;CSH1;Chorionic somatomammotropin hormone 1
Q53FA7;TP53I3;Quinone oxidoreductase PIG3
O96007;MOCS2;Molybdopterin synthase catalytic subunit
Q8NHV1;GIMAP7;GTPase IMAP family member 7
Q9NQ48;LZTFL1;Leucine zipper transcription factor-like protein 1
Q96AJ9;VTI1A;Vesicle transport through interaction with t-SNAREs homolog 1A
Q6UX06;OLFM4;Olfactomedin-4
Q96A49;SYAP1;Synapse-associated protein 1
P01210;PENK;Proenkephalin-A
Q92619;ARHGAP45;Rho GTPase-activating protein 45
P21854;CD72;B-cell differentiation antigen CD72
P52758;RIDA;2-iminobutanoate/2-iminopropanoate deaminase
Q9Y4D1;DAAM1;Disheveled-associated activator of morphogenesis 1
Q9UK23;NAGPA;N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase
Q8IUZ5;PHYKPL;5-phosphohydroxy-L-lysine phospho-lyase
Q9NRS6;SNX15;Sorting nexin-15
Q5VTT5;MYOM3;Myomesin-3
P37840;SNCA;Alpha-synuclein
P07311;ACYP1;Acylphosphatase-1
Q04323;UBXN1;UBX domain-containing protein 1
Q6P589;TNFAIP8L2;Tumor necrosis factor alpha-induced protein 8-like protein 2
P32321;DCTD;Deoxycytidylate deaminase
P56192;MARS1;Methionine--tRNA ligase, cytoplasmic
O15335;CHAD;Chondroadherin
Q9P2T1;GMPR2;GMP reductase 2
P35611;ADD1;Alpha-adducin
P54764;EPHA4;Ephrin type-A receptor 4
Q13976;PRKG1;cGMP-dependent protein kinase 1
Q8N0X7;SPART;Spartin
Q6GMV3;PTRHD1;Putative peptidyl-tRNA hydrolase PTRHD1
P40925;MDH1;Malate dehydrogenase, cytoplasmic
P50502;ST13;Hsc70-interacting protein
P10599;TXN;Thioredoxin
Q92686;NRGN;Neurogranin
Q08830;FGL1;Fibrinogen-like protein 1
Q13790;APOF;Apolipoprotein F
P07333;CSF1R;Macrophage colony-stimulating factor 1 receptor
P00390;GSR;Glutathione reductase, mitochondrial
P0DJD7;PGA4;Pepsin A-4
P02748;C9;Complement component C9
P17927;CR1;Complement receptor type 1
P12821;ACE;Angiotensin-converting enzyme
Q6UXB8;PI16;Peptidase inhibitor 16
P22897;MRC1;Macrophage mannose receptor 1
P16233;PNLIP;Pancreatic triacylglycerol lipase
P50552;VASP;Vasodilator-stimulated phosphoprotein
P04180;LCAT;Phosphatidylcholine-sterol acyltransferase
O43493;TGOLN2;Trans-Golgi network integral membrane protein 2
O00602;FCN1;Ficolin-1
Q93091;RNASE6;Ribonuclease K6
P12955;PEPD;Xaa-Pro dipeptidase
Q0ZGT2;NEXN;Nexilin
P20061;TCN1;Transcobalamin-1
P02652;APOA2;Apolipoprotein A-II
P04278;SHBG;Sex hormone-binding globulin
P00742;F10;Coagulation factor X
P07307;ASGR2;Asialoglycoprotein receptor 2
P08294;SOD3;Extracellular superoxide dismutase [Cu-Zn]
Q86YW5;TREML1;Trem-like transcript 1 protein
P09172;DBH;Dopamine beta-hydroxylase
P27169;PON1;Serum paraoxonase/arylesterase 1
P16442;ABO;Histo-blood group ABO system transferase
O95497;VNN1;Pantetheinase
P07358;C8B;Complement component C8 beta chain
Q04756;HGFAC;Hepatocyte growth factor activator
P06276;BCHE;Cholinesterase
Q9BXR6;CFHR5;Complement factor H-related protein 5
P54108;CRISP3;Cysteine-rich secretory protein 3
P06396;GSN;Gelsolin
P0DN86;CGB3_CGB5_CGB8;Choriogonadotropin subunit beta 3
P26927;MST1;Hepatocyte growth factor-like protein
P04040;CAT;Catalase
P34096;RNASE4;Ribonuclease 4
P07998;RNASE1;Ribonuclease pancreatic
Q01459;CTBS;Di-N-acetylchitobiase
P06744;GPI;Glucose-6-phosphate isomerase
P04114;APOB;Apolipoprotein B-100
P01019;AGT;Angiotensinogen
P0DUB6_P0DTE7_P0DTE8;AMY1A;Alpha-amylase 1A
P02765;AHSG;Alpha-2-HS-glycoprotein
O14791;APOL1;Apolipoprotein L1
P36980;CFHR2;Complement factor H-related protein 2
P08185;SERPINA6;Corticosteroid-binding globulin
P05543;SERPINA7;Thyroxine-binding globulin
P36955;SERPINF1;Pigment epithelium-derived factor
Q96PD5;PGLYRP2;N-acetylmuramoyl-L-alanine amidase
Q08380;LGALS3BP;Galectin-3-binding protein
P10909;CLU;Clusterin
P61769;B2M;Beta-2-microglobulin
P43652;AFM;Afamin
Q92496;CFHR4;Complement factor H-related protein 4
P35542;SAA4;Serum amyloid A-4 protein
P0DOY2;IGLC2;Immunoglobulin lambda constant 2
P00748;F12;Coagulation factor XII
P11226;MBL2;Mannose-binding protein C
P00734;F2;Prothrombin
P02649;APOE;Apolipoprotein E
Q9Y5Y7;LYVE1;Lymphatic vessel endothelial hyaluronic acid receptor 1
P00746;CFD;Complement factor D
P07225;PROS1;Vitamin K-dependent protein S
P03952;KLKB1;Plasma kallikrein
Q16610;ECM1;Extracellular matrix protein 1
O75882;ATRN;Attractin
P05154;SERPINA5;Plasma serine protease inhibitor
O00391;QSOX1;Sulfhydryl oxidase 1
P02775;PPBP;Platelet basic protein
Q96IY4;CPB2;Carboxypeptidase B2
P20742;PZP;Pregnancy zone protein
P06727;APOA4;Apolipoprotein A-IV
P09871;C1S;Complement C1s subcomponent
P02776;PF4;Platelet factor 4
P05452;CLEC3B;Tetranectin
Q14624;ITIH4;Inter-alpha-trypsin inhibitor heavy chain H4
P05546;SERPIND1;Heparin cofactor 2
P02647;APOA1;Apolipoprotein A-I
Q15848;ADIPOQ;Adiponectin
P10643;C7;Complement component C7
P08519;LPA;Apolipoprotein(a)
P00736;C1R;Complement C1r subcomponent
P05090;APOD;Apolipoprotein D
P14151;SELL;L-selectin
P43251;BTD;Biotinidase
Q9NZP8;C1RL;Complement C1r subcomponent-like protein
P02763;ORM1;Alpha-1-acid glycoprotein 1
P19827;ITIH1;Inter-alpha-trypsin inhibitor heavy chain H1
P02654;APOC1;Apolipoprotein C-I
P00751;CFB;Complement factor B
P01009;SERPINA1;Alpha-1-antitrypsin
P49908;SELENOP;Selenoprotein P
P01031;C5;Complement C5
P02750;LRG1;Leucine-rich alpha-2-glycoprotein
P04196;HRG;Histidine-rich glycoprotein
P00747;PLG;Plasminogen
P27918;CFP;Properdin
P02787;TF;Serotransferrin
P02751;FN1;Fibronectin
P02766;TTR;Transthyretin
P05160;F13B;Coagulation factor XIII B chain
P02774;GC;Vitamin D-binding protein
P08697;SERPINF2;Alpha-2-antiplasmin
P02671;FGA;Fibrinogen alpha chain
P05155;SERPING1;Plasma protease C1 inhibitor
P01008;SERPINC1;Antithrombin-III
P01024;C3;Complement C3
O43866;CD5L;CD5 antigen-like
P29622;SERPINA4;Kallistatin
P02743;APCS;Serum amyloid P-component
P01011;SERPINA3;Alpha-1-antichymotrypsin
P04217;A1BG;Alpha-1B-glycoprotein
P08603;CFH;Complement factor H
P03951;F11;Coagulation factor XI
P05156;CFI;Complement factor I
