UniProt ID;Gene;Protein name
Q3KPI0;CEACAM21;Carcinoembryonic antigen-related cell adhesion molecule 21
Q16719;KYNU;Kynureninase
Q16665;HIF1A;Hypoxia-inducible factor 1-alpha
Q99075;HBEGF;Proheparin-binding EGF-like growth factor
Q8WTT0;CLEC4C;C-type lectin domain family 4 member C
Q8TD46;CD200R1;Cell surface glycoprotein CD200 receptor 1
Q8TAD2;IL17D;Interleukin-17D
Q8NI17;IL31RA;Interleukin-31 receptor subunit alpha
Q8N608;DPP10;Inactive dipeptidyl peptidase 10
Q8IXJ6;SIRT2;NAD-dependent protein deacetylase sirtuin-2
Q8IU57;IFNLR1;Interferon lambda receptor 1
Q8IU54;IFNL1;Interferon lambda-1
Q92583;CCL17;C-C motif chemokine 17
Q99062;CSF3R;Granulocyte colony-stimulating factor receptor
Q96RJ3;TNFRSF13C;Tumor necrosis factor receptor superfamily member 13C
Q96PD4;IL17F;Interleukin-17F
Q96NY8;NECTIN4;Nectin-4
Q96LA5;FCRL2;Fc receptor-like protein 2
Q96D42;HAVCR1;Hepatitis A virus cellular receptor 1
Q969D9;TSLP;Thymic stromal lymphopoietin
Q9H293;IL25;Interleukin-25
Q9GZV9;FGF23;Fibroblast growth factor 23
Q9GZT9;EGLN1;Egl nine homolog 1
Q9BXN2;CLEC7A;C-type lectin domain family 7 member A
Q9H5V8;CDCP1;CUB domain-containing protein 1
Q9BQ51;PDCD1LG2;Programmed cell death 1 ligand 2
Q99731;CCL19;C-C motif chemokine 19
Q99616;CCL13;C-C motif chemokine 13
Q9UBU3;GHRL;Appetite-regulating hormone
Q9P0M4;IL17C;Interleukin-17C
Q9NZC2;TREM2;Triggering receptor expressed on myeloid cells 2
Q9NYY1;IL20;Interleukin-20
Q9NWZ3;IRAK4;Interleukin-1 receptor-associated kinase 4
Q9NSA1;FGF21;Fibroblast growth factor 21
Q9NRJ3;CCL28;C-C motif chemokine 28
Q9UHD0;IL19;Interleukin-19
Q9UIB8;CD84;SLAM family member 5
Q9UK05;GDF2;Growth/differentiation factor 2
Q9UMR7;CLEC4A;C-type lectin domain family 4 member A
Q9UNE0;EDAR;Tumor necrosis factor receptor superfamily member EDAR
Q9Y258;CCL26;C-C motif chemokine 26
Q9Y5A7;NUB1;NEDD8 ultimate buster 1
Q9Y6K9;IKBKG;NF-kappa-B essential modulator
Q9Y6Q6;TNFRSF11A;Tumor necrosis factor receptor superfamily member 11A
Q9UQV4;LAMP3;Lysosome-associated membrane glycoprotein 3
