UniProt ID;Gene;Protein name
Q99653;CHP1;Calcineurin B homologous protein 1
Q6QEF8;CORO6;Coronin-6
Q12774;ARHGEF5;Rho guanine nucleotide exchange factor 5
Q9NZA1;CLIC5;Chloride intracellular channel protein 5
Q8IY33;MICALL2;MICAL-like protein 2
Q2M3V2;SOWAHA;Ankyrin repeat domain-containing protein SOWAHA
Q9Y285;FARSA;Phenylalanine--tRNA ligase alpha subunit
Q9HCM4;EPB41L5;Band 4.1-like protein 5
Q6P9F5;TRIM40;E3 ubiquitin ligase TRIM40
P0C7M8;CLEC2L;C-type lectin domain family 2 member L
Q8N8R5;C2orf69;UPF0565 protein C2orf69
Q86UW9;DTX2;Probable E3 ubiquitin-protein ligase DTX2
Q86WK6;AMIGO1;Amphoterin-induced protein 1
O15083;ERC2;ERC protein 2
O15350;TP73;Tumor protein p73
Q8NFZ4;NLGN2;Neuroligin-2
Q8WXG9;ADGRV1;Adhesion G-protein coupled receptor V1
O15020;SPTBN2;Spectrin beta chain, non-erythrocytic 2
P55283;CDH4;Cadherin-4
P10523;SAG;S-arrestin
O14503;BHLHE40;Class E basic helix-loop-helix protein 40
O43396;TXNL1;Thioredoxin-like protein 1
P05549;TFAP2A;Transcription factor AP-2-alpha
Q0VDD7;BRME1;Break repair meiotic recombinase recruitment factor 1
P28222;HTR1B;5-hydroxytryptamine receptor 1B
O15382;BCAT2;Branched-chain-amino-acid aminotransferase, mitochondrial
Q687X5;STEAP4;Metalloreductase STEAP4
Q5T871;LELP1;Late cornified envelope-like proline-rich protein 1
Q9UL42;PNMA2;Paraneoplastic antigen Ma2
O95196;CSPG5;Chondroitin sulfate proteoglycan 5
Q9BV20;MRI1;Methylthioribose-1-phosphate isomerase
Q9C0A0;CNTNAP4;Contactin-associated protein-like 4
P48775;TDO2;Tryptophan 2,3-dioxygenase
P61366;OSTN;Osteocrin
Q68J44;DUSP29;Dual specificity phosphatase 29
Q10571;MN1;Transcriptional activator MN1
Q9P2M1;LRP2BP;LRP2-binding protein
Q9HBL6;LRTM1;Leucine-rich repeat and transmembrane domain-containing protein 1
P48436;SOX9;Transcription factor SOX-9
P14649;MYL6B;Myosin light chain 6B
Q96G03;PGM2;Phosphoglucomutase-2
Q9NY46;SCN3A;Sodium channel protein type 3 subunit alpha
O75718;CRTAP;Cartilage-associated protein
B6A8C7;TARM1;T-cell-interacting, activating receptor on myeloid cells protein 1
Q9Y4C0;NRXN3;Neurexin-3
Q8N2Q7;NLGN1;Neuroligin-1
Q12809;KCNH2;Potassium voltage-gated channel subfamily H member 2
O15212;PFDN6;Prefoldin subunit 6
Q9NUG6;PDRG1;p53 and DNA damage-regulated protein 1
P61266;STX1B;Syntaxin-1B
P09455;RBP1;Retinol-binding protein 1
Q86UP6;CUZD1;CUB and zona pellucida-like domain-containing protein 1
P0DKB5;TPBGL;Trophoblast glycoprotein-like
Q14184;DOC2B;Double C2-like domain-containing protein beta
P43007;SLC1A4;Neutral amino acid transporter A
P63172;DYNLT1;Dynein light chain Tctex-type 1
P11229;CHRM1;Muscarinic acetylcholine receptor M1
Q5VT99;LRRC38;Leucine-rich repeat-containing protein 38
Q16650;TBR1;T-box brain protein 1
Q9ULW2;FZD10;Frizzled-10
Q6ZUT3;FRMD7;FERM domain-containing protein 7
Q6UWJ8;CD164L2;CD164 sialomucin-like 2 protein
P63211;GNGT1;Guanine nucleotide-binding protein G(T) subunit gamma-T1
Q0P6D2;DIPK1C;Divergent protein kinase domain 1C
P20823;HNF1A;Hepatocyte nuclear factor 1-alpha
Q16401;PSMD5;26S proteasome non-ATPase regulatory subunit 5
Q96A32;MYL11;Myosin regulatory light chain 2, skeletal muscle isoform
O75121;MFAP3L;Microfibrillar-associated protein 3-like
Q9NPB3;CABP2;Calcium-binding protein 2
Q9ULU8;CADPS;Calcium-dependent secretion activator 1
O15234;CASC3;Protein CASC3
Q53GD3;SLC44A4;Choline transporter-like protein 4
P54105;CLNS1A;Methylosome subunit pICln
Q93015;NAA80;N-alpha-acetyltransferase 80
Q9UHL0;DDX25;ATP-dependent RNA helicase DDX25
Q8N6Q1;TMCO5A;Transmembrane and coiled-coil domain-containing protein 5A
Q16520;BATF;Basic leucine zipper transcriptional factor ATF-like
Q9ULH4;LRFN2;Leucine-rich repeat and fibronectin type-III domain-containing protein 2
Q96KJ4;MSLNL;Mesothelin-like protein
Q9P2M7;CGN;Cingulin
Q9UGI9;PRKAG3;5'-AMP-activated protein kinase subunit gamma-3
Q53EL9;SEZ6;Seizure protein 6 homolog
P04062;GBA1;Lysosomal acid glucosylceramidase
Q7L0J3;SV2A;Synaptic vesicle glycoprotein 2A
P10746;UROS;Uroporphyrinogen-III synthase
P01270;PTH;Parathyroid hormone
Q8IY31;IFT20;Intraflagellar transport protein 20 homolog
P10301;RRAS;Ras-related protein R-Ras
P98164;LRP2;Low-density lipoprotein receptor-related protein 2
Q2UY09;COL28A1;Collagen alpha-1(XXVIII) chain
Q92834;RPGR;X-linked retinitis pigmentosa GTPase regulator
O14967;CLGN;Calmegin
Q96BJ3;AIDA;Axin interactor, dorsalization-associated protein
O60218;AKR1B10;Aldo-keto reductase family 1 member B10
P52799;EFNB2;Ephrin-B2
P43146;DCC;Netrin receptor DCC
P49069;CAMLG;Guided entry of tail-anchored proteins factor CAMLG
P09683;SCT;Secretin
Q7Z3D4;LYSMD3;LysM and putative peptidoglycan-binding domain-containing protein 3
P60763;RAC3;Ras-related C3 botulinum toxin substrate 3
P63010;AP2B1;AP-2 complex subunit beta
O14578;CIT;Citron Rho-interacting kinase
P24386;CHM;Rab proteins geranylgeranyltransferase component A 1
Q96QH8;SPACA5;Sperm acrosome-associated protein 5
Q9UM54;MYO6;Unconventional myosin-VI
P08651;NFIC;Nuclear factor 1 C-type
Q9HCY8;S100A14;Protein S100-A14
O60662;KLHL41;Kelch-like protein 41
Q96JB5;CDK5RAP3;CDK5 regulatory subunit-associated protein 3
A6NFN3;RBFOX3;RNA binding protein fox-1 homolog 3
Q9NPD7;NRN1;Neuritin
Q9BY14;TEX101;Testis-expressed protein 101
Q9BZJ3;TPSD1;Tryptase delta
Q8WWM7;ATXN2L;Ataxin-2-like protein
Q07617;SPAG1;Sperm-associated antigen 1
Q9BX66;SORBS1;Sorbin and SH3 domain-containing protein 1
Q13002;GRIK2;Glutamate receptor ionotropic, kainate 2
Q15398;DLGAP5;Disks large-associated protein 5
Q15735;INPP5J;Phosphatidylinositol 4,5-bisphosphate 5-phosphatase A
P35556;FBN2;Fibrillin-2
Q8IWP9;CCDC28A;Coiled-coil domain-containing protein 28A
P48431;SOX2;Transcription factor SOX-2
O60939;SCN2B;Sodium channel subunit beta-2
P20916;MAG;Myelin-associated glycoprotein
Q9BX10;GTPBP2;GTP-binding protein 2
Q86TM3;DDX53;Probable ATP-dependent RNA helicase DDX53
P54277;PMS1;PMS1 protein homolog 1
P50897;PPT1;Palmitoyl-protein thioesterase 1
Q8TC05;MDM1;Nuclear protein MDM1
Q9UNY4;TTF2;Transcription termination factor 2
Q8WVC0;LEO1;RNA polymerase-associated protein LEO1
Q9NXH3;PPP1R14D;Protein phosphatase 1 regulatory subunit 14D
Q9UH03;SEPTIN3;Neuronal-specific septin-3
P53367;ARFIP1;Arfaptin-1
Q15102;PAFAH1B3;Platelet-activating factor acetylhydrolase IB subunit alpha1
Q13084;MRPL28;39S ribosomal protein L28, mitochondrial
Q6ZVN8;HJV;Hemojuvelin
P30419;NMT1;Glycylpeptide N-tetradecanoyltransferase 1
Q8N967;LRTM2;Leucine-rich repeat and transmembrane domain-containing protein 2
O43665;RGS10;Regulator of G-protein signaling 10
O95295;SNAPIN;SNARE-associated protein Snapin
O95202;LETM1;Mitochondrial proton/calcium exchanger protein
Q9UQ16;DNM3;Dynamin-3
Q9H6Q3;SLA2;Src-like-adapter 2
Q15714;TSC22D1;TSC22 domain family protein 1
Q8IVM0;CCDC50;Coiled-coil domain-containing protein 50
Q86YD3;TMEM25;Transmembrane protein 25
P29536;LMOD1;Leiomodin-1
Q5T848;GPR158;Probable G-protein coupled receptor 158
B2RUY7;VWC2L;von Willebrand factor C domain-containing protein 2-like
Q14151;SAFB2;Scaffold attachment factor B2
Q96A00;PPP1R14A;Protein phosphatase 1 regulatory subunit 14A
Q15366;PCBP2;Poly(rC)-binding protein 2
O60869;EDF1;Endothelial differentiation-related factor 1
O75167;PHACTR2;Phosphatase and actin regulator 2
O95467;GNAS;Neuroendocrine secretory protein 55
P22102;GART;Trifunctional purine biosynthetic protein adenosine-3
Q07021;C1QBP;Complement component 1 Q subcomponent-binding protein, mitochondrial
Q08378;GOLGA3;Golgin subfamily A member 3
O75792;RNASEH2A;Ribonuclease H2 subunit A
O43432;EIF4G3;Eukaryotic translation initiation factor 4 gamma 3
A8MVW0;FAM171A2;Protein FAM171A2
O15013;ARHGEF10;Rho guanine nucleotide exchange factor 10
P12319;FCER1A;High affinity immunoglobulin epsilon receptor subunit alpha
P54284;CACNB3;Voltage-dependent L-type calcium channel subunit beta-3
Q96I25;RBM17;Splicing factor 45
Q9BUJ2;HNRNPUL1;Heterogeneous nuclear ribonucleoprotein U-like protein 1
Q96PE7;MCEE;Methylmalonyl-CoA epimerase, mitochondrial
Q6UWW0;LCN15;Lipocalin-15
P51687;SUOX;Sulfite oxidase, mitochondrial
Q01826;SATB1;DNA-binding protein SATB1
P04808;RLN1;Prorelaxin H1
Q8WWV3;RTN4IP1;Reticulon-4-interacting protein 1, mitochondrial
Q9H6H4;REEP4;Receptor expression-enhancing protein 4
O60469;DSCAM;Down syndrome cell adhesion molecule
O75592;MYCBP2;E3 ubiquitin-protein ligase MYCBP2
Q9H777;ELAC1;Zinc phosphodiesterase ELAC protein 1
Q14197;MRPL58;Peptidyl-tRNA hydrolase ICT1, mitochondrial
Q5JSP0;FGD3;FYVE, RhoGEF and PH domain-containing protein 3
O43776;NARS1;Asparagine--tRNA ligase, cytoplasmic
P04439;HLA-A;HLA class I histocompatibility antigen, A alpha chain
Q9NWU2;GID8;Glucose-induced degradation protein 8 homolog
Q5SW96;LDLRAP1;Low density lipoprotein receptor adapter protein 1
O15240;VGF;Neurosecretory protein VGF
Q92859;NEO1;Neogenin
Q6GQQ9;OTUD7B;OTU domain-containing protein 7B
Q96HC4;PDLIM5;PDZ and LIM domain protein 5
Q6Y7W6;GIGYF2;GRB10-interacting GYF protein 2
Q8WXW3;PIBF1;Progesterone-induced-blocking factor 1
Q9H4X1;RGCC;Regulator of cell cycle RGCC
Q16625;OCLN;Occludin
P78318;IGBP1;Immunoglobulin-binding protein 1
Q6ZVM7;TOM1L2;TOM1-like protein 2
Q9H6S1;AZI2;5-azacytidine-induced protein 2
Q9BZE9;ASPSCR1;Tether containing UBX domain for GLUT4
P61764;STXBP1;Syntaxin-binding protein 1
P68400;CSNK2A1;Casein kinase II subunit alpha
P31751;AKT2;RAC-beta serine/threonine-protein kinase
P29377;S100G;Protein S100-G
P14902;IDO1;Indoleamine 2,3-dioxygenase 1
Q99460;PSMD1;26S proteasome non-ATPase regulatory subunit 1
Q9BXI9;C1QTNF6;Complement C1q tumor necrosis factor-related protein 6
Q5T5Y3;CAMSAP1;Calmodulin-regulated spectrin-associated protein 1
Q6PKH6;DHRS4L2;Dehydrogenase/reductase SDR family member 4-like 2
Q13277;STX3;Syntaxin-3
P21579;SYT1;Synaptotagmin-1
Q53GL0;PLEKHO1;Pleckstrin homology domain-containing family O member 1
O60890;OPHN1;Oligophrenin-1
O15269;SPTLC1;Serine palmitoyltransferase 1
Q9H1P3;OSBPL2;Oxysterol-binding protein-related protein 2
Q96RU2;USP28;Ubiquitin carboxyl-terminal hydrolase 28
P01350;GAST;Gastrin
P78352;DLG4;Disks large homolog 4
P26718;KLRK1;NKG2-D type II integral membrane protein
O77932;DXO;Decapping and exoribonuclease protein
Q92599;SEPTIN8;Septin-8
P13995;MTHFD2;Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial
Q8N163;CCAR2;Cell cycle and apoptosis regulator protein 2
Q8IWY9;CDAN1;Codanin-1
Q86VP1;TAX1BP1;Tax1-binding protein 1
Q9H251;CDH23;Cadherin-23
Q14149;MORC3;MORC family CW-type zinc finger protein 3
P43320;CRYBB2;Beta-crystallin B2
P51649;ALDH5A1;Succinate-semialdehyde dehydrogenase, mitochondrial
Q9NWM8;FKBP14;Peptidyl-prolyl cis-trans isomerase FKBP14
Q14160;SCRIB;Protein scribble homolog
Q9BUP0;EFHD1;EF-hand domain-containing protein D1
O94830;DDHD2;Phospholipase DDHD2
Q8IWQ3;BRSK2;Serine/threonine-protein kinase BRSK2
Q9NPG4;PCDH12;Protocadherin-12
Q6UXV0;GFRAL;GDNF family receptor alpha-like
Q4ZHG4;FNDC1;Fibronectin type III domain-containing protein 1
Q13938;CAPS;Calcyphosin
P47813;EIF1AX;Eukaryotic translation initiation factor 1A, X-chromosomal
Q9UKY0;PRND;Prion-like protein doppel
P54315;PNLIPRP1;Inactive pancreatic lipase-related protein 1
Q15256;PTPRR;Receptor-type tyrosine-protein phosphatase R
O14530;TXNDC9;Thioredoxin domain-containing protein 9
Q15025;TNIP1;TNFAIP3-interacting protein 1
P13861;PRKAR2A;cAMP-dependent protein kinase type II-alpha regulatory subunit
P10092;CALCB;Calcitonin gene-related peptide 2
Q9ULA0;DNPEP;Aspartyl aminopeptidase
P59780;AP3S2;AP-3 complex subunit sigma-2
Q8WYQ3;CHCHD10;Coiled-coil-helix-coiled-coil-helix domain-containing protein 10, mitochondrial
Q9NPE2;NGRN;Neugrin
Q6UX71;PLXDC2;Plexin domain-containing protein 2
Q6XQN6;NAPRT;Nicotinate phosphoribosyltransferase
P46937;YAP1;Transcriptional coactivator YAP1
Q9BXI3;NT5C1A;Cytosolic 5'-nucleotidase 1A
Q9P2X3;IMPACT;Protein IMPACT
Q99704;DOK1;Docking protein 1
Q6P1J6;PLB1;Phospholipase B1, membrane-associated
O60235;TMPRSS11D;Transmembrane protease serine 11D
Q03252;LMNB2;Lamin-B2
Q8TAT2;FGFBP3;Fibroblast growth factor-binding protein 3
Q5F1R6;DNAJC21;DnaJ homolog subfamily C member 21
Q03014;HHEX;Hematopoietically-expressed homeobox protein HHEX
Q6QNY0;BLOC1S3;Biogenesis of lysosome-related organelles complex 1 subunit 3
Q9BPX1;HSD17B14;17-beta-hydroxysteroid dehydrogenase 14
P32455;GBP1;Guanylate-binding protein 1
Q9Y3C0;WASHC3;WASH complex subunit 3
P62760;VSNL1;Visinin-like protein 1
Q2L4Q9;PRSS53;Serine protease 53
P55210;CASP7;Caspase-7
P51460;INSL3;Insulin-like 3
Q5VV43;KIAA0319;Dyslexia-associated protein KIAA0319
A0FGR8;ESYT2;Extended synaptotagmin-2
O95954;FTCD;Formimidoyltransferase-cyclodeaminase
Q92888;ARHGEF1;Rho guanine nucleotide exchange factor 1
P11137;MAP2;Microtubule-associated protein 2
Q9BRJ6;C7orf50;Uncharacterized protein C7orf50
Q7Z4V5;HDGFL2;Hepatoma-derived growth factor-related protein 2
P08579;SNRPB2;U2 small nuclear ribonucleoprotein B''
Q9BQT9;CLSTN3;Calsyntenin-3
Q01432;AMPD3;AMP deaminase 3
Q9Y6X8;ZHX2;Zinc fingers and homeoboxes protein 2
Q8WW22;DNAJA4;DnaJ homolog subfamily A member 4
Q9UBC9;SPRR3;Small proline-rich protein 3
P0CG30;GSTT2B;Glutathione S-transferase theta-2B
Q8IXS6;PALM2;Paralemmin-2
O75146;HIP1R;Huntingtin-interacting protein 1-related protein
Q9NRY6;PLSCR3;Phospholipid scramblase 3
Q96CN9;GCC1;GRIP and coiled-coil domain-containing protein 1
Q9NXV2;KCTD5;BTB/POZ domain-containing protein KCTD5
P07320;CRYGD;Gamma-crystallin D
P54252;ATXN3;Ataxin-3
Q8IXM2;BAP18;Chromatin complexes subunit BAP18
A8MVW5;HEPACAM2;HEPACAM family member 2
O60220;TIMM8A;Mitochondrial import inner membrane translocase subunit Tim8 A
Q8TF65;GIPC2;PDZ domain-containing protein GIPC2
P53814;SMTN;Smoothelin
Q07817;BCL2L1;Bcl-2-like protein 1
Q00722;PLCB2;1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2
P40313;CTRL;Chymotrypsin-like protease CTRL-1
Q8N4C8;MINK1;Misshapen-like kinase 1
P54819;AK2;Adenylate kinase 2, mitochondrial
Q9NR46;SH3GLB2;Endophilin-B2
